,top_n_features,n_estimators,min_samp,max_depth,mae_pred,rmse_pred,r2_pred,mae_train,rmse_train,r2_train
0,30,1,20,5,48.566114152709325,63.99956157942292,0.14921937216576908,48.02003929743978,63.406542407924206,0.16491297161493135
1,30,100,20,5,13.853812513493367,26.465113128724543,0.8545173831585259,5.265951471654514,9.337966809532622,0.9818879233849982
2,30,500,20,5,14.041058509872302,27.361778399373602,0.8444921785726863,3.425185319216759,7.231520033289487,0.989137675268163
0,30,25,20,5,16.722748157934014,26.692841462031428,0.8520028988825236,10.490264760193144,15.307352677648717,0.9513297282211944
1,30,50,20,5,14.096143665416282,26.031016244775685,0.8592508304601403,6.51696808792889,11.222573424808463,0.9738393514937806
2,30,75,20,5,13.990540879348048,26.399687682206455,0.8552358006376042,5.711103945171707,10.04661014202514,0.9790346221302846
0,30,25,20,5,16.722748157934014,26.692841462031428,0.8520028988825236,10.490264760193144,15.307352677648717,0.9513297282211944
1,30,50,20,5,14.096143665416282,26.031016244775685,0.8592508304601403,6.51696808792889,11.222573424808463,0.9738393514937806
2,30,75,20,5,13.990540879348048,26.399687682206455,0.8552358006376042,5.711103945171707,10.04661014202514,0.9790346221302846
0,30,200,20,5,14.070014743714607,27.074050401920505,0.847745526846192,4.396237332602498,7.9968653740764015,0.9867167861573456
1,30,300,20,5,14.052109001494514,27.148249267461964,0.8469098491855089,3.918869035698661,7.5323086448785785,0.9882152653147172
